sent_time,end_time,frame_id,worker,latency_ms,calc_time_ms,success
1766841450.441767,1766841450.4898431,1,a6fa2dfbe94a:50051,48.07543754577637,7.366293000814039,1
1766841450.4416037,1766841450.484373,3,796ace5c2f15:50051,42.76847839355469,10.930011001619278,1
1766841450.4415522,1766841450.4838808,2,a6fa2dfbe94a:50051,42.327165603637695,13.814147001539823,1
1766841450.441562,1766841450.486318,4,a6fa2dfbe94a:50051,44.75545883178711,7.23238700084039,1
1766841450.4415078,1766841450.492148,5,a6fa2dfbe94a:50051,50.63891410827637,5.263803999696393,1
1766841450.4415781,1766841450.4851058,0,796ace5c2f15:50051,43.526411056518555,9.675692999735475,1
1766841453.4173493,1766841453.4565942,6,796ace5c2f15:50051,39.24369812011719,3.4290459989279043,1
1766841454.4020534,1766841454.411793,7,796ace5c2f15:50051,9.738683700561523,2.758808001090074,1
1766841454.4024937,1766841454.4168146,8,a6fa2dfbe94a:50051,14.319896697998047,4.16690099882544,1
1766841455.4044743,1766841455.415858,9,796ace5c2f15:50051,11.383056640625,2.385630999924615,1
1766841455.3933263,1766841455.3990364,10,796ace5c2f15:50051,5.709648132324219,2.7033080004912335,1
1766841456.3922975,1766841456.4045377,11,a6fa2dfbe94a:50051,12.23897933959961,2.131425000698073,1
1766841456.4022236,1766841456.4136713,12,796ace5c2f15:50051,11.446237564086914,2.620743998704711,1
1766841457.4134974,1766841457.423757,13,a6fa2dfbe94a:50051,10.25843620300293,2.6277829965692945,1
1766841457.4136715,1766841457.4285898,14,796ace5c2f15:50051,14.917612075805664,3.641741001047194,1
1766841458.4210489,1766841458.4431856,15,a6fa2dfbe94a:50051,22.13597297668457,2.6784450019476935,1
1766841458.4210634,1766841458.4305851,16,a6fa2dfbe94a:50051,9.521007537841797,3.187887999956729,1
1766841459.4530706,1766841459.4612298,17,a6fa2dfbe94a:50051,8.158445358276367,3.209424001397565,1
1766841459.4494584,1766841459.457517,18,796ace5c2f15:50051,8.057832717895508,2.300484000443248,1
1766841460.4678648,1766841460.4754212,19,796ace5c2f15:50051,7.555723190307617,2.485756998794386,1
1766841460.468367,1766841460.4763217,20,a6fa2dfbe94a:50051,7.953643798828125,3.1873709995124955,1
1766841461.5497124,1766841461.55626,21,796ace5c2f15:50051,6.546735763549805,3.972943999542622,1
1766841461.5564659,1766841461.567015,23,796ace5c2f15:50051,10.548114776611328,2.8862919971288648,1
1766841461.5502977,1766841461.563095,22,a6fa2dfbe94a:50051,12.796640396118164,2.932819003035547,1
1766841462.4750426,1766841462.483087,24,796ace5c2f15:50051,8.043766021728516,2.6944249984808266,1
1766841462.4750051,1766841462.4823112,25,a6fa2dfbe94a:50051,7.305145263671875,3.1640990018786397,1
1766841463.5032463,1766841463.508171,27,796ace5c2f15:50051,4.923582077026367,2.1920260005572345,1
1766841463.506887,1766841463.5147276,26,a6fa2dfbe94a:50051,7.838964462280273,2.539976001571631,1
1766841464.5272696,1766841464.5379045,29,a6fa2dfbe94a:50051,10.633468627929688,2.5113990013778675,1
1766841464.5202153,1766841464.5316603,28,796ace5c2f15:50051,11.443853378295898,2.4614100002509076,1
1766841465.5521052,1766841465.5574915,31,796ace5c2f15:50051,5.385160446166992,2.6375779998488724,1
1766841465.5526788,1766841465.5612128,30,a6fa2dfbe94a:50051,8.533000946044922,4.403038998134434,1
1766841466.578124,1766841466.5873864,33,796ace5c2f15:50051,9.261608123779297,2.967559001262998,1
1766841466.5783799,1766841466.5916884,32,a6fa2dfbe94a:50051,13.307809829711914,2.4897160001273733,1
1766841467.6083906,1766841467.625225,34,a6fa2dfbe94a:50051,16.833066940307617,3.4438229995430447,1
1766841467.608517,1766841467.6206672,35,796ace5c2f15:50051,12.14909553527832,5.145134997292189,1
1766841468.5995574,1766841468.6091888,37,a6fa2dfbe94a:50051,9.630918502807617,4.493978998652892,1
1766841468.5994794,1766841468.6069584,36,796ace5c2f15:50051,7.477760314941406,4.464063000341412,1
1766841469.5452893,1766841469.5609565,39,a6fa2dfbe94a:50051,15.666007995605469,4.189802002656506,1
1766841469.5451186,1766841469.557341,38,796ace5c2f15:50051,12.221574783325195,4.431192002812168,1
1766841470.6221068,1766841470.636378,41,a6fa2dfbe94a:50051,14.270544052124023,3.6501559989119414,1
1766841470.6223848,1766841470.6360657,40,796ace5c2f15:50051,13.680219650268555,4.793047999555711,1
1766841471.6083007,1766841471.6196847,43,a6fa2dfbe94a:50051,11.383295059204102,3.058352001971798,1
1766841471.6107605,1766841471.6188204,42,796ace5c2f15:50051,8.058786392211914,2.632490999531001,1
1766841472.6601763,1766841472.67402,44,a6fa2dfbe94a:50051,13.842582702636719,4.07002899737563,1
1766841472.661663,1766841472.6789038,45,796ace5c2f15:50051,17.23957061767578,3.780761999223614,1
1766841472.6625402,1766841472.6769013,46,a6fa2dfbe94a:50051,14.360189437866211,6.915198002388934,1
1766841473.6333895,1766841473.6458278,47,796ace5c2f15:50051,12.437582015991211,5.190067000512499,1
1766841473.631689,1766841473.643788,48,a6fa2dfbe94a:50051,12.098073959350586,4.862282999965828,1
1766841476.0586429,1766841476.0722353,49,796ace5c2f15:50051,13.59105110168457,5.349281000235351,1
1766841476.0587814,1766841476.0676408,50,796ace5c2f15:50051,8.858680725097656,3.9548429995193146,1
1766841476.7800126,1766841476.7888381,51,796ace5c2f15:50051,8.824586868286133,3.4222370013594627,1
1766841477.650599,1766841477.6651947,53,796ace5c2f15:50051,14.59503173828125,4.433140002220171,1
1766841477.6498492,1766841477.6630647,52,a6fa2dfbe94a:50051,13.214826583862305,4.1910590007319115,1
1766841478.7413642,1766841478.7517126,54,a6fa2dfbe94a:50051,10.347604751586914,4.089170997758629,1
1766841478.749038,1766841478.7618513,55,a6fa2dfbe94a:50051,12.812376022338867,4.1421819987590425,1
1766841479.7047973,1766841479.7201252,57,a6fa2dfbe94a:50051,15.327215194702148,4.5741899994027335,1
1766841479.7053015,1766841479.7215269,56,a6fa2dfbe94a:50051,16.223907470703125,6.080883002141491,1
1766841480.7208798,1766841480.739893,59,a6fa2dfbe94a:50051,19.011974334716797,4.8338860033254605,1
1766841480.7448645,1766841480.7623732,58,796ace5c2f15:50051,17.507076263427734,6.115380001574522,1
